Ground Truth File,Predicted File,Mean Total Length Error (First Row),Mean Scheduling Order Error (First Row),Mean Total Length Error (All Rows),Mean Scheduling Order Error (All Rows)
16_results_output.csv,16_results_output.csv,0.11344496065343931,0.12028711256154141,0.11560924986627821,0.11171142392117714
166_results_output.csv,166_results_output.csv,0.3831368673555254,0.36054500966698855,0.3752603984886216,0.34797378270158213
159_results_output.csv,159_results_output.csv,0.33427451615318066,0.2980846763419036,0.26955776317660085,0.24795937442740085
165_results_output.csv,165_results_output.csv,0.23789615357533556,0.22844178987965658,0.13393943581888032,0.13873873748923207
150_results_output.csv,150_results_output.csv,0.12254456961819093,0.037200842130800035,0.09630683063906575,0.02875297051784114
19_results_output.csv,19_results_output.csv,0.15344806228239152,0.16404563067827058,0.14452112418413726,0.12201941352613414
126_results_output.csv,126_results_output.csv,0.3043611177907806,0.31789771871965516,0.3028380030929834,0.24329351352614625
170_results_output.csv,170_results_output.csv,0.2567797820327527,0.16667836901562066,0.20406257055032756,0.11834362987668175
134_results_output.csv,134_results_output.csv,0.2662836104187487,0.22101524972846917,0.21067751915966074,0.1739023548215565
111_results_output.csv,111_results_output.csv,0.28467603139895076,0.2876319810144722,0.2662389332144116,0.2727513462180261
73_results_output.csv,73_results_output.csv,0.16092592929446256,0.1694461757471121,0.14690460502029465,0.13453560036391837
56_results_output.csv,56_results_output.csv,0.2201946390312541,0.29411012929281083,0.2009453780948888,0.18579307130483258
75_results_output.csv,75_results_output.csv,0.24255318807628926,0.11985028011152324,0.20757830973483266,0.11143132110451352
139_results_output.csv,139_results_output.csv,0.14071026183168353,0.17134991585362916,0.13809001218256658,0.16523147202899988
1_results_output.csv,1_results_output.csv,0.14973190750266008,0.16663207710307318,0.1430877642746634,0.13733029325967572
91_results_output.csv,91_results_output.csv,0.1924421520019681,0.22171237255083778,0.13866025700862822,0.14447066210820678
9_results_output.csv,9_results_output.csv,0.14519887737858833,0.11921842583050336,0.11016292388302702,0.06872655850248174
103_results_output.csv,103_results_output.csv,0.2266922935060668,0.3513424917538478,0.2256478919012149,0.27195421139252696
64_results_output.csv,64_results_output.csv,0.23535950082079513,0.12035025738751871,0.2114236819574565,0.07106254334098827
84_results_output.csv,84_results_output.csv,0.09558552968895459,0.2878707200159447,0.12766370692709675,0.18199479336334146
101_results_output.csv,101_results_output.csv,0.25877054470749355,0.22124944698549556,0.23856004611381362,0.1732795620054846
176_results_output.csv,176_results_output.csv,0.42528531272931613,0.34509623019978874,0.40488328828848125,0.31672552981539703
67_results_output.csv,67_results_output.csv,0.024661436831703847,0.04609261232093156,0.01148569251326023,0.029529682937702445
