X,Y,Z,Hardness of Picking
54,423,317,1
208,512,272,0
95,576,327,0
418,358,304,0
378,397,309,2
449,416,325,1
474,372,308,2
,,,0
1161,545,302,1
,,,0
1143,456,308,3
