X,Y,Z,Hardness of Picking
,,,0
68,91,308,3
68,199,387,1
,,,0
517,302,361,0
440,449,344,0
549,476,318,0
314,588,316,0
1183,506,264,0
1106,385,317,0
988,59,327,0
