X,Y,Z,Hardness of Picking
1062,209,340,0
928,157,263,1
873,298,341,0
789,281,293,0
653,286,304,0
275,266,351,0
64,266,352,0
566,528,261,0
712,508,291,1
652,581,258,0
622,533,270,2
