Ground Truth File,Predicted File,Mean Total Length Error,Mean Scheduling Order Error
58_results_output.csv,58_results_output.csv,0.4087543351975701,0.4087543351975701
78_results_output.csv,78_results_output.csv,0.2747816464948229,0.2561552199661151
116_results_output.csv,116_results_output.csv,0.4298260394150343,0.3997798317991922
79_results_output.csv,79_results_output.csv,0.30363217757496896,0.30687275416161197
87_results_output.csv,87_results_output.csv,0.17811117271608126,0.11542388764008697
17_results_output.csv,17_results_output.csv,0.2380319447044786,0.1895897532068144
50_results_output.csv,50_results_output.csv,0.31120326705735907,0.13289932957793632
68_results_output.csv,68_results_output.csv,0.4004154195855395,0.26388477261754273
6_results_output.csv,6_results_output.csv,0.244951616614058,0.24408179222698756
20_results_output.csv,20_results_output.csv,0.3131430592432925,0.21502175479997013
31_results_output.csv,31_results_output.csv,0.31604313757975677,0.2901347068669556
11_results_output.csv,11_results_output.csv,0.2798393176855173,0.2800538967330993
94_results_output.csv,94_results_output.csv,0.15631746496163873,0.15467580759222518
95_results_output.csv,95_results_output.csv,0.17220059782105196,0.15761289680602542
36_results_output.csv,36_results_output.csv,0.15186394550150467,0.15186394550150467
74_results_output.csv,74_results_output.csv,0.28877672187310754,0.16543483227856082
30_results_output.csv,30_results_output.csv,0.3825850406142116,0.36922003848585294
93_results_output.csv,93_results_output.csv,0.25048623560181116,0.21805503420487654
115_results_output.csv,115_results_output.csv,0.44991152958932623,0.44991152958932623
16_results_output.csv,16_results_output.csv,0.30613525744654724,0.30091096553917784
19_results_output.csv,19_results_output.csv,0.5,0.5
111_results_output.csv,111_results_output.csv,0.2415231708833983,0.2141750289029672
73_results_output.csv,73_results_output.csv,0.28424653246423814,0.24366626760151194
56_results_output.csv,56_results_output.csv,0.3336752237399795,0.3336752237399795
75_results_output.csv,75_results_output.csv,0.4629524498839276,0.4629524498839276
1_results_output.csv,1_results_output.csv,0.3074758253367083,0.25636677814111064
91_results_output.csv,91_results_output.csv,0.19194878214516495,0.1679823486248419
9_results_output.csv,9_results_output.csv,0.2582462640449962,0.2723593984201543
103_results_output.csv,103_results_output.csv,0.4344186381964671,0.4260099974847062
64_results_output.csv,64_results_output.csv,0.29223912131308094,0.2643649356612439
