Ground Truth File,Predicted File,Mean Total Length Error (First Row),Mean Scheduling Order Error (First Row),Mean Total Length Error (All Rows),Mean Scheduling Order Error (All Rows)
201_results_output.csv,201_results_output.csv,0.007737183339993901,0.07293891009763696,0.02282796172800912,0.02867879604368091
208_results_output.csv,208_results_output.csv,0.2511947087986451,0.24940945140361737,0.12927667655594804,0.1376341623766944
233_results_output.csv,233_results_output.csv,0.28922873999333487,0.2670151739360504,0.14662652322294503,0.14960624824970917
211_results_output.csv,211_results_output.csv,0.11986970357671972,0.0700493414690192,0.0496308180001644,0.03970366428465997
183_results_output.csv,183_results_output.csv,0.28571268626747265,0.28571268626747265,0.18677708964842035,0.18677708964842035
227_results_output.csv,227_results_output.csv,0.19924114778506263,0.12113076272726717,0.056901692964201424,0.040536250018906164
226_results_output.csv,226_results_output.csv,0.0906356211113516,0.0943188057224583,0.055456238551858925,0.06323515493710852
207_results_output.csv,207_results_output.csv,0.11897249141469354,0.08654899452837336,0.036227377949091415,0.026103954997416662
215_results_output.csv,215_results_output.csv,0.2260087245420116,0.236996285126583,0.09691159200562377,0.0959989992725226
187_results_output.csv,187_results_output.csv,0.15286271982913394,0.20924716151382283,0.10499494950355574,0.11679149646198872
229_results_output.csv,229_results_output.csv,0.36493277085890086,0.2603607688149344,0.21289016625427643,0.1675713364291495
232_results_output.csv,232_results_output.csv,0.3185635226188827,0.3002421012532966,0.14768920937804367,0.09930366915915913
186_results_output.csv,186_results_output.csv,0.20761611025464852,0.1660882943708511,0.09681179400061415,0.11122918918856481
204_results_output.csv,204_results_output.csv,0.22468067282792345,0.16726050892845423,0.07465556271042446,0.045821301141949856
214_results_output.csv,214_results_output.csv,0.21162661685827083,0.2208282180911599,0.05942152712458426,0.05632821404784634
212_results_output.csv,212_results_output.csv,0.18238269427158707,0.15007392235930417,0.06189236547158986,0.05574431009161253
221_results_output.csv,221_results_output.csv,0.14440242500190864,0.07636467380090872,0.09239719223867471,0.03422167540175401
197_results_output.csv,197_results_output.csv,0.00526320824527457,0.0761898113566232,0.06828655349129183,0.037377324665784396
203_results_output.csv,203_results_output.csv,0.19771457504179318,0.15054673606723984,0.16873402385701408,0.16154361830014197
179_results_output.csv,179_results_output.csv,0.5,0.665764174350954,0.5,0.49999999999999994
188_results_output.csv,188_results_output.csv,0.00257655298109136,0.127800410593431,0.037569549310157616,0.05825129053896475
194_results_output.csv,194_results_output.csv,0.1716559970208186,0.18276201595507854,0.04453728486377082,0.05966221411885386
185_results_output.csv,185_results_output.csv,0.1355911096560982,0.09671712712046612,0.04488715883644463,0.04035554898923488
210_results_output.csv,210_results_output.csv,0.2578318287150922,0.2755579337355852,0.14784897733372457,0.1556274968255518
218_results_output.csv,218_results_output.csv,0.3411025409541914,0.27779833166034623,0.09560414213327317,0.07822572716999028
225_results_output.csv,225_results_output.csv,0.2364942252327416,0.324171063924496,0.20845352596425162,0.11796586182559361
189_results_output.csv,189_results_output.csv,0.09801916209685155,0.07458520440171769,0.04305097664297546,0.027048950609207027
180_results_output.csv,180_results_output.csv,0.14883136866948385,0.2347934441340494,0.09255745216770254,0.10430989657128902
181_results_output.csv,181_results_output.csv,0.12296744292838373,0.0035417716770628715,0.0532709250396176,0.04929282022618013
198_results_output.csv,198_results_output.csv,0.17794217331537554,0.18587669983045485,0.12418775346791307,0.12782024239164264
242_results_output.csv,242_results_output.csv,0.21209174221890034,0.23808449398986012,0.15562616913306046,0.14022163682141972
235_results_output.csv,235_results_output.csv,0.1100988499239623,0.08493505094237899,0.06540341830128142,0.0889660025809788
255_results_output.csv,255_results_output.csv,0.20663689595078205,0.23325570208821297,0.1159913376791688,0.14836151627281421
238_results_output.csv,238_results_output.csv,0.22338992996870174,0.21725778406784602,0.10261374692107612,0.09564829351858714
247_results_output.csv,247_results_output.csv,0.18765499449339876,0.1364556067129788,0.12723197378602996,0.08661023448814462
234_results_output.csv,234_results_output.csv,0.04358388484668981,0.06629696291893848,0.034864734576661296,0.03636780412222733
240_results_output.csv,240_results_output.csv,0.028396345211060988,0.07530540298926465,0.06682155171817569,0.04906285563668285
254_results_output.csv,254_results_output.csv,0.05961549040292696,0.06528021452813078,0.03663167149961978,0.030701326206540747
246_results_output.csv,246_results_output.csv,0.23205219577252215,0.21944417075355838,0.06873404053399143,0.0756199321387131
241_results_output.csv,241_results_output.csv,0.25184331904514495,0.21379827491680725,0.07049777159781956,0.08287561220224167
252_results_output.csv,252_results_output.csv,0.04160464886358083,0.11647649722293194,0.05263737043794462,0.07235010898917445
250_results_output.csv,250_results_output.csv,0.35478680675053487,0.2489422978349862,0.2165589431306319,0.16835914342065003
251_results_output.csv,251_results_output.csv,0.14040730943661284,0.11500410293896039,0.0844469004566829,0.05562177165296582
239_results_output.csv,239_results_output.csv,0.20291516278685057,0.10135496658999513,0.050950619910925324,0.03738541693297378
237_results_output.csv,237_results_output.csv,0.19565761563529335,0.1551902227818194,0.08472758812506977,0.0726891753578074
245_results_output.csv,245_results_output.csv,0.13289374798675127,0.2600541130049196,0.07228903432214688,0.10897276260653341
243_results_output.csv,243_results_output.csv,0.06794473291570322,0.17940742112290167,0.039157683250172035,0.08996949777150418
236_results_output.csv,236_results_output.csv,0.1469815256509437,0.21400313708279106,0.0826220040773441,0.1306575805144751
249_results_output.csv,249_results_output.csv,0.09406762939487906,0.16997473377885194,0.053487806845016805,0.06752663637840198
244_results_output.csv,244_results_output.csv,0.21212950141534376,0.1667698819324441,0.15573917076375393,0.11236480284079939
248_results_output.csv,248_results_output.csv,0.26686416862318585,0.20008457342293914,0.11641127058950063,0.10856680775375785
253_results_output.csv,253_results_output.csv,0.14137721131610317,0.14081925949840832,0.10896307167644166,0.08611468376956277
77_results_output.csv,77_results_output.csv,0.3162641596903743,0.2918101684953234,0.18171656414509593,0.18707651221549754
39_results_output.csv,39_results_output.csv,0.3440944368142369,0.28500429624308393,0.22915948158631777,0.20278820890420296
29_results_output.csv,29_results_output.csv,0.3645298817286011,0.3352714140390915,0.11254825709102156,0.09822914846121739
65_results_output.csv,65_results_output.csv,0.21611279424525842,0.16690280643576472,0.08111918832835611,0.08851053708616861
42_results_output.csv,42_results_output.csv,0.2732134364654095,0.2732134364654095,0.10671658520161112,0.10671658520161112
41_results_output.csv,41_results_output.csv,0.2709666055485182,0.2709666055485182,0.25100246495208334,0.20607779366939688
